"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0000003",0.171568715207063,1.02601368333522,3.80551160374507,0.269612548895004,0.787458345134478,NA
"FBgn0000008",95.1440789963134,0.0021517572025327,0.22388369661058,0.0096110491076777,0.992331610361801,0.996928202135423
"FBgn0000014",1.05657219346166,-0.496735176133307,2.16026588895843,-0.229941683878926,0.818137084979906,NA
"FBgn0000015",0.846723274987709,-1.88276477017966,2.10643312227738,-0.893816542413695,0.371420056787455,NA
"FBgn0000017",4352.5928987935,-0.240025038806351,0.126024438534679,-1.90459121736379,0.0568332291282957,0.282363564492751
"FBgn0000018",418.614930505122,-0.104798921522972,0.148280324554162,-0.706762153630788,0.47971429747005,0.823906978670721
"FBgn0000022",0.0796749105101128,-0.719793320809052,3.81459675932753,-0.188694471846598,0.850332284583495,NA
"FBgn0000024",6.40628919476961,0.210808227899969,0.690347645452179,0.305365317443633,0.760087933729886,NA
"FBgn0000028",0.438900024085017,1.41420783692907,2.77952280919254,0.508795190401728,0.610895790999544,NA
"FBgn0000032",989.730032286706,-0.0919048321208807,0.147697569279427,-0.622250132952475,0.533777405699536,0.84977608026726
"FBgn0000036",0.589596332729872,-0.0654522954134844,2.30476976366996,-0.0283986263813451,0.97734421974966,NA
"FBgn0000037",14.0948138653578,0.463068871693908,0.491402051881573,0.942342161415123,0.346017488977995,0.740906498781541
"FBgn0000038",0,NA,NA,NA,NA,NA
"FBgn0000039",0.438900024085017,1.41420783692907,2.77952280919254,0.508795190401728,0.610895790999544,NA
"FBgn0000042",82207.7246355838,0.31452517168127,0.140541714814334,2.23794886875246,0.0252243896828585,0.164531814522281
"FBgn0000043",31162.0800981548,0.619578960171353,0.123317697553274,5.02425014790511,5.0540328189978e-07,1.72396373575896e-05
"FBgn0000044",27.0142162829088,0.41497361876572,0.414720830229478,1.00060953903883,0.31701561655849,0.719314551251168
"FBgn0000045",6.49768786824646,0.152663234971473,0.713899086369762,0.213844278394834,0.830668494365472,NA
"FBgn0000046",23.6865655871929,0.604239520633602,0.461037020032615,1.31060954842814,0.189989711625595,0.569012007866076
"FBgn0000047",9.27446768376142,0.682068343891712,0.658140624847167,1.03635654469757,0.300035835504137,0.702841685661926
"FBgn0000052",2342.87838063352,-0.135495789823714,0.136696838676103,-0.991213777406847,0.321581204500664,0.721368228874582
"FBgn0000053",2100.27876868186,0.296060333145041,0.137257477624732,2.15697052188649,0.0310079613522393,0.189346487406227
"FBgn0000054",654.288209497534,-0.119920567655703,0.118496278350356,-1.01201969652697,0.311528635930724,0.713126909300043
"FBgn0000055",0.087343676946538,0.90026855885989,3.81017301615324,0.236280230594043,0.813215226384258,NA
"FBgn0000056",0,NA,NA,NA,NA,NA
"FBgn0000057",682.648317882294,-0.0235497121515395,0.121581325380179,-0.193695142554999,0.846414595496022,0.963153739988119
"FBgn0000061",1.57835265432906,0.310108220430007,1.48005616350117,0.209524630265669,0.834038709896032,NA
"FBgn0000063",404.771774959063,0.205592879490974,0.129916281573893,1.58250280103682,0.113534833384274,0.430327537145676
"FBgn0000064",7917.16080656924,0.299544392673477,0.103456713566433,2.89535963735334,0.00378724360113765,0.0392338454885647
"FBgn0000071",342.2384071951,2.67958390704191,0.182611887258351,14.6736554080456,9.50816920529073e-49,8.79294358840387e-46
"FBgn0000075",2.0524421521127,-0.414315009922181,1.20415817518796,-0.34407025460547,0.730793452117939,NA
"FBgn0000077",224.199083286086,-0.0559648738227697,0.156728872434673,-0.357080817040248,0.721031304876272,0.92712199187034
"FBgn0000078",29.0157817140274,-1.02025932249289,0.397263434761818,-2.56821855025393,0.0102222684960849,0.086113300296472
"FBgn0000079",159.515293800957,-1.06709491314073,0.354054428318691,-3.01392901144628,0.00257888140590891,0.0289272640719405
